numero	nome_atual	grupo	equipamento	queixa_do_hugo	classe	nome_novo	status
1	Chest press sentado	Peito	Máquina	mudar nome para crucifixo	NOME	crucifixo	rename PENDENTE
2	Chest press unilateral	Peito	Máquina	mudar nome para crucifixo unilateral/ movimento está errado.	NOME+VIDEO	crucifixo unilateral	vídeo na fila + rename PENDENTE
3	Crossover	Peito	Polia	exercício está errado	VIDEO		vídeo na fila
4	Crossover de baixo para cima	Peito	Polia	retirar	RETIRAR		podado no código (não deployado)
5	Crossover na polia média	Peito	Polia	retirar	RETIRAR		podado no código (não deployado)
6	Crossover unilateral	Peito	Polia	retirar	RETIRAR		podado no código (não deployado)
7	Crucifixo declinado com halteres	Peito	Halteres	movimento errado	VIDEO		vídeo INSTALADO (17/09)
8	Crucifixo inclinado com halteres	Peito	Halteres	melhorar movimento	VIDEO		vídeo INSTALADO (17/09)
9	Crucifixo na polia alta	Peito	Polia	retirar	RETIRAR		podado no código (não deployado)
10	Crucifixo na polia baixa	Peito	Polia	retirar	RETIRAR		podado no código (não deployado)
11	Crucifixo reto	Peito	Halteres	melhorar: banco na horizontal e melhorar movimento	VIDEO		vídeo INSTALADO (17/09)
12	Crucifixo unilateral na polia	Peito	Polia	retirar	RETIRAR		podado no código (não deployado)
13	Flexão com rotação	Peito	Peso corporal	✅ ok	OK		nada a fazer
14	Flexão de braço	Peito	Peso corporal	melhorar movimento	VIDEO		vídeo INSTALADO (17/09)
15	Flexão de braço com abertura na toalha	Peito	Toalha	retirar	RETIRAR		podado no código (não deployado)
16	Flexão de braço com deslocamento lateral	Peito	Peso corporal	retirar	RETIRAR		podado no código (não deployado)
17	Flexão de braço com joelhos apoiados	Peito	Peso corporal	ok ✅	OK		nada a fazer
18	Flexão de braço com pegada aberta	Peito	Peso corporal	ok ✅	OK		nada a fazer
19	Flexão de braço declinada	Peito	Peso corporal	retirar	RETIRAR		podado no código (não deployado)
20	Flexão de braço diamante	Peito	Peso corporal	retirar	RETIRAR		podado no código (não deployado)
21	Flexão de braço inclinada	Peito	Peso corporal	✅	OK		nada a fazer
22	Flexão de braço nas argolas	Peito	Argolas	retirar	RETIRAR		podado no código (não deployado)
23	Flexão de braço no TRX	Peito	TRX	movimento errado	VIDEO		vídeo na fila
24	Floor press com halteres	Peito	Halteres	retirar	RETIRAR		podado no código (não deployado)
25	Paralelas (mergulho)	Peito	Peso corporal	✅	OK		nada a fazer
26	Paralelas com peso	Peito	Peso corporal	✅	OK		nada a fazer
27	Peck deck (voador)	Peito	Máquina	retirar	RETIRAR		podado no código (não deployado)
28	Peck deck inclinado	Peito	Máquina	retirar	RETIRAR		podado no código (não deployado)
29	Pullover	Peito	Halteres	✅	OK		nada a fazer
30	Pullover com halter	Peito	Halter	retirar	RETIRAR		podado no código (não deployado)
31	Pullover na polia alta	Peito	Polia	melhor movimento	VIDEO		vídeo na fila
32	Supino com halteres	Peito	Halteres	mudar nome: supino reto com halter	NOME	supino reto com halter	rename PENDENTE
33	Supino com pegada fechada	Peito	Barra	retirar	RETIRAR		podado no código (não deployado)
